"No.","Time","Source","Destination","Protocol","Length","Info"
"20","0.371031","Hitex_39:03:e2","Broadcast","ARP","60","Who has 172.27.71.71? Tell 172.27.68.201"
"21","0.460123","172.27.68.134","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"22","0.481980","172.27.70.198","224.2.2.2","UDP","72","57152  >  8995 Len=30"
"23","0.602661","172.27.69.124","224.2.2.2","UDP","72","51117  >  8995 Len=30"
"24","0.616501","172.27.68.210","172.27.68.75","TCP","164","52436  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=8195 Len=110 [TCP segment of a reassembled PDU]"
"25","0.617873","172.27.68.75","172.27.68.210","TCP","164","8009  >  52436 [PSH, ACK] Seq=1 Ack=111 Win=1867 Len=110 [TCP segment of a reassembled PDU]"
"26","0.632166","172.27.68.210","172.27.68.75","TCP","164","52437  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=8195 Len=110 [TCP segment of a reassembled PDU]"
"27","0.634271","172.27.68.75","172.27.68.210","TCP","164","8009  >  52437 [PSH, ACK] Seq=1 Ack=111 Win=1655 Len=110 [TCP segment of a reassembled PDU]"
"28","0.644103","172.27.76.59","172.27.69.192","TCP","66","51558  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"29","0.663406","172.27.68.210","172.27.68.75","TCP","54","52436  >  8009 [ACK] Seq=111 Ack=111 Win=8194 Len=0"
"30","0.679440","172.27.68.210","172.27.68.75","TCP","54","52437  >  8009 [ACK] Seq=111 Ack=111 Win=8194 Len=0"
"31","0.690624","172.27.71.240","224.2.2.2","UDP","72","50645  >  8995 Len=30"
"32","0.832632","172.27.70.157","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"33","0.893780","172.27.69.156","224.2.2.2","UDP","72","61642  >  8995 Len=30"
"34","0.930279","172.27.68.210","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"35","0.932984","172.27.68.75","172.27.68.210","UDP","539","53822  >  53852 Len=497"
"36","0.946173","CeLink_ec:e2:c2","Broadcast","ARP","42","Who has 172.27.69.192? Tell 172.27.68.210"
"37","0.967485","TCLKingE_f5:63:5f","Broadcast","ARP","60","Who has 172.27.68.255? Tell 172.27.68.75"
"38","1.009776","172.27.68.210","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"39","1.012473","172.27.68.75","172.27.68.210","UDP","539","59741  >  53855 Len=497"
"40","1.077906","172.27.68.202","224.2.2.2","UDP","72","59616  >  8995 Len=30"
"41","1.121408","172.27.70.167","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"42","1.136645","172.27.70.167","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"43","1.193297","172.27.71.164","224.2.2.2","UDP","72","60230  >  8995 Len=30"
"44","1.302770","172.27.70.198","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"45","1.315143","fe80::1e61:b4ff:febd:928f","ff02::2","ICMPv6","70","Router Solicitation from 1c:61:b4:bd:92:8f"
"46","1.462645","172.27.68.134","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"47","1.463207","Cisco_f6:49:1a","PVST+","STP","64","Conf. Root = 32768/71/68:bc:0c:d9:3c:00  Cost = 4  Port = 0x801a"
"48","1.482994","172.27.70.198","224.2.2.2","UDP","72","57152  >  8995 Len=30"
"49","1.553864","Cisco_48:70:63","Broadcast","ARP","60","Who has 172.27.71.141? Tell 172.27.68.1"
"50","1.601858","172.27.69.124","224.2.2.2","UDP","72","51117  >  8995 Len=30"
"51","1.649330","D-LinkIn_23:7c:b5","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/a0:a3:f0:23:7c:a0  Cost = 0  Port = 0x8015"
"52","1.690976","172.27.71.240","224.2.2.2","UDP","72","50645  >  8995 Len=30"
"53","1.717542","fe80::4ced:7938:9e9e:a88e","ff02::1:2","DHCPv6","151","Solicit XID: 0x1a14f7 CID: 000100012c6f243400e04c74706d "
"54","1.735426","TCLKingE_f5:63:5f","Broadcast","ARP","60","Who has 172.27.68.255? Tell 172.27.68.75"
"55","1.742807","fe80::1","ff02::1:ff9e:a88e","ICMPv6","86","Neighbor Solicitation for fe80::4ced:7938:9e9e:a88e from e8:cc:18:c4:a7:ec"
"56","1.835175","172.27.70.157","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"57","1.891494","172.27.69.156","224.2.2.2","UDP","72","61642  >  8995 Len=30"
"58","2.075279","172.27.68.202","224.2.2.2","UDP","72","59616  >  8995 Len=30"
"59","2.129411","172.27.70.167","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"60","2.139492","172.27.70.167","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"61","2.182269","D-LinkIn_83:fb:fd","Broadcast","ARP","60","Who has 172.27.70.157? Tell 172.27.69.107"
"62","2.202770","172.27.71.164","224.2.2.2","UDP","72","60230  >  8995 Len=30"
"63","2.257586","172.27.70.140","224.0.0.251","MDNS","85","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QU"" question"
"64","2.301209","fe80::233e:22e3:d247:53db","ff02::1:2","DHCPv6","155","Solicit XID: 0x85c5c3 CID: 000100012c7a3c14cc6b1e0aa4f7 "
"65","2.317730","172.27.70.198","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"66","2.353093","142.251.175.188","172.27.68.210","TLSv1.2","324","Application Data"
"67","2.422488","172.27.70.170","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"68","2.483840","172.27.70.198","224.2.2.2","UDP","72","57152  >  8995 Len=30"
"69","2.605948","172.27.69.124","224.2.2.2","UDP","72","51117  >  8995 Len=30"
"70","2.670592","Cisco_48:70:63","Broadcast","ARP","60","Who has 172.27.70.129? Tell 172.27.68.1"
"71","2.673933","142.251.175.188","172.27.68.210","TCP","324","[TCP Retransmission] 5228  >  63094 [PSH, ACK] Seq=1 Ack=1 Win=265 Len=258 TSval=3407328060 TSecr=1581692687"
"72","2.690194","172.27.71.240","224.2.2.2","UDP","72","50645  >  8995 Len=30"
"73","2.742821","fe80::1","ff02::1:ff9e:a88e","ICMPv6","86","Neighbor Solicitation for fe80::4ced:7938:9e9e:a88e from e8:cc:18:c4:a7:ec"
"74","2.744768","172.27.68.210","142.251.175.188","TCP","66","63094  >  5228 [ACK] Seq=1 Ack=259 Win=349 Len=0 TSval=1581802080 TSecr=3407327739"
"75","2.744862","172.27.68.210","142.251.175.188","TCP","78","[TCP Dup ACK 74#1] 63094  >  5228 [ACK] Seq=1 Ack=259 Win=349 Len=0 TSval=1581802080 TSecr=3407328060 SLE=1 SRE=259"
"76","2.892335","172.27.69.156","224.2.2.2","UDP","72","61642  >  8995 Len=30"
"77","2.899174","34.0.63.29","172.27.68.210","TLSv1.2","93","Application Data"
"78","2.899649","172.27.68.210","34.0.63.29","TCP","54","33713  >  443 [FIN, ACK] Seq=1 Ack=40 Win=1025 Len=0"
"79","2.966551","Hitex_39:03:e2","Broadcast","ARP","60","Who has 172.27.71.71? Tell 172.27.68.201"
"80","3.011183","172.27.68.202","255.255.255.255","DHCP","358","DHCP Request  - Transaction ID 0x5156348f"
"81","3.042991","172.27.68.1","255.255.255.255","DHCP","343","DHCP ACK      - Transaction ID 0x5156348f"
"82","3.055727","fe80::b434:980f:ecb9:5ea4","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"83","3.055727","172.27.68.202","224.0.0.22","IGMPv3","60","Membership Report / Leave group 224.0.0.252"
"84","3.069805","fe80::b434:980f:ecb9:5ea4","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"85","3.071991","172.27.68.202","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"86","3.073748","fe80::b434:980f:ecb9:5ea4","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"87","3.073748","172.27.68.202","224.0.0.22","IGMPv3","60","Membership Report / Leave group 224.0.0.252"
"88","3.073748","fe80::b434:980f:ecb9:5ea4","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"89","3.074872","172.27.68.202","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"90","3.076284","172.27.71.116","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"91","3.077165","172.27.68.202","224.0.0.251","MDNS","81","Standard query 0x0000 ANY LAPTOP-BHBO4DF3.local, ""QM"" question"
"92","3.077165","172.27.68.202","224.2.2.2","UDP","72","59616  >  8995 Len=30"
"93","3.077890","fe80::b434:980f:ecb9:5ea4","ff02::fb","MDNS","101","Standard query 0x0000 ANY LAPTOP-BHBO4DF3.local, ""QM"" question"
"94","3.077890","172.27.68.202","224.0.0.251","MDNS","119","Standard query response 0x0000 AAAA fe80::b434:980f:ecb9:5ea4 A 172.27.68.202"
"95","3.077890","fe80::b434:980f:ecb9:5ea4","ff02::fb","MDNS","139","Standard query response 0x0000 AAAA fe80::b434:980f:ecb9:5ea4 A 172.27.68.202"
"96","3.079197","fe80::b434:980f:ecb9:5ea4","ff02::1:3","LLMNR","95","Standard query 0x267f ANY LAPTOP-BHBO4DF3"
"97","3.079197","172.27.68.202","224.0.0.252","LLMNR","75","Standard query 0x267f ANY LAPTOP-BHBO4DF3"
"98","3.079197","172.27.68.202","224.0.0.251","MDNS","81","Standard query 0x0000 ANY LAPTOP-BHBO4DF3.local, ""QM"" question"
"99","3.079735","fe80::b434:980f:ecb9:5ea4","ff02::fb","MDNS","101","Standard query 0x0000 ANY LAPTOP-BHBO4DF3.local, ""QM"" question"
"100","3.079735","172.27.68.202","224.0.0.251","MDNS","119","Standard query response 0x0000 AAAA fe80::b434:980f:ecb9:5ea4 A 172.27.68.202"
"101","3.079735","fe80::b434:980f:ecb9:5ea4","ff02::fb","MDNS","139","Standard query response 0x0000 AAAA fe80::b434:980f:ecb9:5ea4 A 172.27.68.202"
"102","3.116640","172.27.71.60","255.255.255.255","DHCP","358","DHCP Request  - Transaction ID 0xe14303f"
"103","3.141171","172.27.70.167","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"104","3.141171","172.27.70.167","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"105","3.142880","172.27.68.1","255.255.255.255","DHCP","343","DHCP ACK      - Transaction ID 0xe14303f"
"106","3.154770","fe80::3e87:a77a:59bd:2647","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"107","3.154770","172.27.71.60","224.0.0.22","IGMPv3","60","Membership Report / Leave group 224.0.0.252"
"108","3.166659","172.27.70.170","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"109","3.185315","fe80::3e87:a77a:59bd:2647","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"110","3.185315","172.27.71.60","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"111","3.185315","fe80::3e87:a77a:59bd:2647","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"112","3.185315","172.27.71.60","224.0.0.22","IGMPv3","60","Membership Report / Leave group 224.0.0.252"
"113","3.185412","fe80::3e87:a77a:59bd:2647","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"114","3.185412","172.27.71.60","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"115","3.187307","172.27.71.60","224.0.0.251","MDNS","81","Standard query 0x0000 ANY LAPTOP-A88J6NTO.local, ""QM"" question"
"116","3.187307","fe80::3e87:a77a:59bd:2647","ff02::fb","MDNS","101","Standard query 0x0000 ANY LAPTOP-A88J6NTO.local, ""QM"" question"
"117","3.188476","fe80::3e87:a77a:59bd:2647","ff02::1:3","LLMNR","95","Standard query 0x8da3 ANY LAPTOP-A88J6NTO"
"118","3.188476","fe80::3e87:a77a:59bd:2647","ff02::fb","MDNS","139","Standard query response 0x0000 AAAA fe80::3e87:a77a:59bd:2647 A 172.27.71.60"
"119","3.188476","172.27.71.60","224.0.0.252","LLMNR","75","Standard query 0x8da3 ANY LAPTOP-A88J6NTO"
"120","3.188476","172.27.71.60","224.0.0.251","MDNS","119","Standard query response 0x0000 AAAA fe80::3e87:a77a:59bd:2647 A 172.27.71.60"
"121","3.189595","172.27.71.60","224.0.0.251","MDNS","81","Standard query 0x0000 ANY LAPTOP-A88J6NTO.local, ""QM"" question"
"122","3.189595","fe80::3e87:a77a:59bd:2647","ff02::fb","MDNS","101","Standard query 0x0000 ANY LAPTOP-A88J6NTO.local, ""QM"" question"
"123","3.190586","fe80::3e87:a77a:59bd:2647","ff02::fb","MDNS","139","Standard query response 0x0000 AAAA fe80::3e87:a77a:59bd:2647 A 172.27.71.60"
"124","3.190586","172.27.71.60","224.0.0.251","MDNS","119","Standard query response 0x0000 AAAA fe80::3e87:a77a:59bd:2647 A 172.27.71.60"
"125","3.197237","172.27.71.164","224.2.2.2","UDP","72","60230  >  8995 Len=30"
"126","3.212249","172.27.68.127","255.255.255.255","DB-LSP-DISC/JSON","211","Dropbox LAN sync Discovery Protocol, JavaScript Object Notation"
"127","3.215588","172.27.68.127","255.255.255.255","DB-LSP-DISC/JSON","211","Dropbox LAN sync Discovery Protocol, JavaScript Object Notation"
"128","3.215588","172.27.68.127","255.255.255.255","DB-LSP-DISC/JSON","211","Dropbox LAN sync Discovery Protocol, JavaScript Object Notation"
"129","3.215588","172.27.68.127","172.27.71.255","DB-LSP-DISC/JSON","211","Dropbox LAN sync Discovery Protocol, JavaScript Object Notation"
"130","3.215588","172.27.68.127","255.255.255.255","DB-LSP-DISC/JSON","211","Dropbox LAN sync Discovery Protocol, JavaScript Object Notation"
"131","3.215588","172.27.68.127","255.255.255.255","DB-LSP-DISC/JSON","211","Dropbox LAN sync Discovery Protocol, JavaScript Object Notation"
"132","3.257067","172.27.70.140","224.0.0.251","MDNS","85","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QM"" question"
"133","3.267177","34.0.63.29","172.27.68.210","TLSv1.2","78","Application Data"
"134","3.267177","34.0.63.29","172.27.68.210","TCP","60","443  >  33713 [FIN, ACK] Seq=64 Ack=2 Win=501 Len=0"
"135","3.267248","172.27.68.210","34.0.63.29","TCP","54","33713  >  443 [RST, ACK] Seq=2 Ack=64 Win=0 Len=0"
"136","3.315273","fe80::1e61:b4ff:febd:928f","ff02::2","ICMPv6","70","Router Solicitation from 1c:61:b4:bd:92:8f"
"137","3.318327","172.27.70.198","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"138","3.423067","fe80::7862:fba3:8b4:216","ff02::1:2","DHCPv6","157","Solicit XID: 0xda025a CID: 00010001299392a01418779ab9c2 "
"139","3.431088","172.27.70.170","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"140","3.442201","172.27.68.202","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"141","3.442201","fe80::b434:980f:ecb9:5ea4","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"142","3.443087","fe80::1","ff02::1:ffb4:216","ICMPv6","86","Neighbor Solicitation for fe80::7862:fba3:8b4:216 from e8:cc:18:c4:a7:ec"
"143","3.466819","Cisco_f6:49:1a","PVST+","STP","64","Conf. Root = 32768/71/68:bc:0c:d9:3c:00  Cost = 4  Port = 0x801a"
"144","3.483537","172.27.70.198","224.2.2.2","UDP","72","57152  >  8995 Len=30"
"145","3.507574","172.27.71.60","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.252 for any sources"
"146","3.507574","fe80::3e87:a77a:59bd:2647","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"147","3.600523","172.27.69.124","224.2.2.2","UDP","72","51117  >  8995 Len=30"
"148","3.614164","172.27.72.220","172.27.69.224","TCP","66","52398  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"149","3.669419","D-LinkIn_23:7c:b5","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/a0:a3:f0:23:7c:a0  Cost = 0  Port = 0x8015"
"150","3.697307","172.27.71.240","224.2.2.2","UDP","72","50645  >  8995 Len=30"
"151","3.742815","fe80::1","ff02::1:ff9e:a88e","ICMPv6","86","Neighbor Solicitation for fe80::4ced:7938:9e9e:a88e from e8:cc:18:c4:a7:ec"
"152","3.745631","172.27.69.156","224.0.0.251","MDNS","106","Standard query 0x0000 PTR _sleep-proxy._udp.local, ""QM"" question OPT"
"153","3.798567","Cisco_48:70:63","Broadcast","ARP","60","Who has 172.27.71.71? Tell 172.27.68.1"
"154","3.876539","Hitex_39:03:e2","Broadcast","ARP","60","Who has 172.27.71.71? Tell 172.27.68.201"
"155","3.901411","172.27.69.156","224.2.2.2","UDP","72","61642  >  8995 Len=30"
"156","3.942630","CeLink_ec:e2:c2","Broadcast","ARP","42","Who has 172.27.69.224? Tell 172.27.68.210"
"157","4.033645","172.27.68.210","172.27.16.10","DNS","76","Standard query 0x84b5 HTTPS gs-loc.apple.com"
"158","4.034085","172.27.68.210","172.27.16.10","DNS","76","Standard query 0xbffb A gs-loc.apple.com"
"159","4.035174","172.27.16.10","172.27.68.210","DNS","208","Standard query response 0x84b5 HTTPS gs-loc.apple.com CNAME gs-loc-new.ls-apple.com.akadns.net CNAME gs-loc.ls-apple.com.akadns.net SOA internal.akadns.net"
"160","4.035174","172.27.16.10","172.27.68.210","DNS","526","Standard query response 0xbffb A gs-loc.apple.com CNAME gs-loc-new.ls-apple.com.akadns.net CNAME gs-loc.ls-apple.com.akadns.net A 17.57.12.242 A 17.57.12.243 A 17.57.12.16 NS a12-131.akagtm.org NS a3-129.akadns.net NS a18-128.akagtm.org NS a1-128.akadns.net NS a13-130.akagtm.org NS a11-129.akadns.net NS a7-131.akadns.net NS a28-129.akagtm.org NS a9-128.akadns.net NS a5-130.akagtm.org A 96.7.49.129 A 23.61.199.131 A 84.53.139.129 A 193.108.88.128 A 184.85.248.128 AAAA 2600:1403:11::80"
"161","4.043409","172.27.68.210","17.57.12.242","TCP","78","62408  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2309400885 TSecr=0 SACK_PERM"
"162","4.044236","172.27.68.210","172.27.16.10","DNS","90","Standard query 0xdd71 A gs-loc.ls-apple.com.akadns.net"
"163","4.045709","172.27.16.10","172.27.68.210","DNS","471","Standard query response 0xdd71 A gs-loc.ls-apple.com.akadns.net A 17.57.12.242 A 17.57.12.243 A 17.57.12.16 NS a11-129.akadns.net NS a28-129.akagtm.org NS a13-130.akagtm.org NS a9-128.akadns.net NS a3-129.akadns.net NS a7-131.akadns.net NS a1-128.akadns.net NS a18-128.akagtm.org NS a5-130.akagtm.org NS a12-131.akagtm.org A 96.7.49.129 A 23.61.199.131 A 84.53.139.129 A 193.108.88.128 A 184.85.248.128 AAAA 2600:1403:11::80"
"164","4.077032","172.27.68.202","224.2.2.2","UDP","72","59616  >  8995 Len=30"
"165","4.151390","Cisco_48:70:63","Broadcast","ARP","60","Who has 172.27.68.186? Tell 172.27.68.1"
"166","4.170582","172.27.68.210","17.57.12.243","TCP","78","62409  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=4034255542 TSecr=0 SACK_PERM"
"167","4.197405","172.27.71.164","224.2.2.2","UDP","72","60230  >  8995 Len=30"
"168","4.395019","17.57.12.242","172.27.68.210","TCP","74","443  >  62408 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2378091308 TSecr=2309400885 WS=512"
"169","4.426002","fe80::7862:fba3:8b4:216","ff02::1:2","DHCPv6","157","Solicit XID: 0xda025a CID: 00010001299392a01418779ab9c2 "
"170","4.432984","172.27.70.170","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"171","4.438344","172.27.68.210","17.57.12.242","TCP","66","62408  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=2309401280 TSecr=2378091308"
"172","4.439744","172.27.68.210","17.57.12.242","TLSv1.3","583","Client Hello"
"173","4.482124","172.27.70.198","224.2.2.2","UDP","72","57152  >  8995 Len=30"
"174","4.537848","17.57.12.243","172.27.68.210","TCP","74","443  >  62409 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=875497729 TSecr=4034255542 WS=512"
"175","4.545310","172.27.68.210","17.57.12.243","TCP","66","62409  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=4034255916 TSecr=875497729"
"176","4.545462","172.27.68.210","17.57.12.243","TLSv1.3","583","Client Hello"
"177","4.609225","172.27.69.124","224.2.2.2","UDP","72","51117  >  8995 Len=30"
"178","4.620656","172.27.72.220","172.27.69.224","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 52398  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"179","4.697541","172.27.71.240","224.2.2.2","UDP","72","50645  >  8995 Len=30"
"180","4.811354","17.57.12.242","172.27.68.210","TCP","66","443  >  62408 [ACK] Seq=1 Ack=518 Win=43008 Len=0 TSval=2378091704 TSecr=2309401281"
"181","4.812110","17.57.12.242","172.27.68.210","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"182","4.812110","17.57.12.242","172.27.68.210","TCP","1514","443  >  62408 [ACK] Seq=1449 Ack=518 Win=43008 Len=1448 TSval=2378091705 TSecr=2309401281 [TCP segment of a reassembled PDU]"
"183","4.812110","17.57.12.242","172.27.68.210","TLSv1.3","889","Application Data"
"184","4.849009","172.27.68.210","17.57.12.242","TCP","66","62408  >  443 [ACK] Seq=518 Ack=3720 Win=128000 Len=0 TSval=2309401690 TSecr=2378091705"
"185","4.849119","172.27.68.210","17.57.12.242","TCP","66","[TCP Window Update] 62408  >  443 [ACK] Seq=518 Ack=3720 Win=131072 Len=0 TSval=2309401690 TSecr=2378091705"
"186","4.867912","172.27.68.210","17.57.12.242","TLSv1.3","130","Change Cipher Spec, Application Data"
"187","4.869994","172.27.68.210","17.57.12.243","TCP","66","62409  >  443 [FIN, ACK] Seq=518 Ack=1 Win=131712 Len=0 TSval=4034256242 TSecr=875497729"
"188","4.879004","Hitex_39:03:e2","Broadcast","ARP","60","Who has 172.27.71.71? Tell 172.27.68.201"
"189","4.901204","172.27.69.156","224.2.2.2","UDP","72","61642  >  8995 Len=30"
"190","4.920087","17.57.12.243","172.27.68.210","TCP","66","443  >  62409 [ACK] Seq=1 Ack=518 Win=43008 Len=0 TSval=875498104 TSecr=4034255916"
"191","4.920087","17.57.12.243","172.27.68.210","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"192","4.920087","17.57.12.243","172.27.68.210","TCP","1514","443  >  62409 [ACK] Seq=1449 Ack=518 Win=43008 Len=1448 TSval=875498105 TSecr=4034255916 [TCP segment of a reassembled PDU]"
"193","4.920087","17.57.12.243","172.27.68.210","TLSv1.3","891","Application Data"
"194","4.924103","172.27.68.210","17.57.12.243","TCP","54","62409  >  443 [RST] Seq=518 Win=0 Len=0"
"195","4.962427","172.27.68.210","172.27.16.10","TCP","66","33718  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"196","4.962697","172.27.68.210","172.27.16.10","TCP","66","33719  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"197","4.963368","172.27.68.210","142.251.42.46","UDP","220","49385  >  443 Len=178"
"198","4.963386","172.27.16.10","172.27.68.210","TCP","66","53  >  33718 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=128"
"199","4.963386","172.27.16.10","172.27.68.210","TCP","66","53  >  33719 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=128"
"200","4.963572","172.27.68.210","172.27.16.10","TCP","54","33718  >  53 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"201","4.963617","172.27.68.210","172.27.16.10","TCP","54","33719  >  53 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"202","4.963832","172.27.68.210","172.27.16.10","TCP","56","33719  >  53 [PSH, ACK] Seq=1 Ack=1 Win=262656 Len=2 [TCP segment of a reassembled PDU]"
"203","4.963910","172.27.68.210","172.27.16.10","DNS","87","Standard query 0xeb2f HTTPS ssl.gstatic.com"
"204","4.963987","172.27.68.210","172.27.16.10","TCP","56","33718  >  53 [PSH, ACK] Seq=1 Ack=1 Win=262656 Len=2 [TCP segment of a reassembled PDU]"
"205","4.964028","172.27.68.210","172.27.16.10","DNS","87","Standard query 0x3df7 A ssl.gstatic.com"
"206","4.965581","172.27.16.10","172.27.68.210","TCP","60","53  >  33719 [ACK] Seq=1 Ack=3 Win=29312 Len=0"
"207","4.965581","172.27.16.10","172.27.68.210","TCP","60","53  >  33719 [ACK] Seq=1 Ack=36 Win=29312 Len=0"
"208","4.965581","172.27.16.10","172.27.68.210","TCP","60","53  >  33718 [ACK] Seq=1 Ack=3 Win=29312 Len=0"
"209","4.965581","172.27.16.10","172.27.68.210","TCP","60","53  >  33718 [ACK] Seq=1 Ack=36 Win=29312 Len=0"
"210","4.965581","172.27.16.10","172.27.68.210","DNS","146","Standard query response 0xeb2f HTTPS ssl.gstatic.com SOA ns1.google.com"
"211","4.965581","172.27.16.10","172.27.68.210","DNS","360","Standard query response 0x3df7 A ssl.gstatic.com A 142.251.42.67 NS ns1.google.com NS ns4.google.com NS ns2.google.com NS ns3.google.com A 216.239.34.10 A 216.239.32.10 A 216.239.36.10 A 216.239.38.10 AAAA 2001:4860:4802:34::a AAAA 2001:4860:4802:32::a AAAA 2001:4860:4802:36::a AAAA 2001:4860:4802:38::a"
